"backcountry-barn","msr",699.95
"soda-mountain-sl","big-agnes",599.95
"copper-spur-ul4","big-agnes",599.95
"carbon-reflex-3","msr",599.95
"hacienda-6p","marmot",599
"ve-25","north-face",579
"mountain-manor-6","north-face",529
"string-ridge-2","big-agnes",499.95
"fury-2","msr",499.95
"flying-diamond-6","big-agnes",499.95
