"name","brand","price","weight","height","bestuse","seasons","capacity"
"gunnison-21","kelty",189.95,2210,102,"Backpacking","3-season","2-person"
"gunnison-31","kelty",229.95,2670,117,"Backpacking","3-season","3-person"
"hula-house-4","kelty",299.95,5414.8,183,"Carcamping","3-season","4-person"
"hula-house-6","kelty",399.95,8306.4,193,"Carcamping","3-season","6-person"
"salida-2","kelty",159.95,1700,102,"Backpacking","3-season","2-person"
"trail-ridge-4","kelty",199.95,4734.4,150,"Carcamping","3-season","4-person"
"trail-ridge-6","kelty",289.95,6265.2,180,"Carcamping","3-season","6-person"
